,idade,renda,situacao_moradia,tempo_trabalhado,motivo_emprestimo,score,valor_emprestimo,taxa_juros,inadimplente,razao_renda_emprestimo,devedor,tempo_historico_credito
93,23,70967.74193548388,Rent,0.0,Education,B,22000.0,10.62,1,0.31,N,11
94,29,60000.0,Rent,0.0,Homeimprovement,A,4000.0,7.88,0,0.07,N,6
95,25,50000.0,Rent,0.0,Homeimprovement,B,6400.0,9.91,0,0.13,N,4
96,29,60000.0,Mortgage,7.0,Venture,A,5000.0,7.66,0,0.08,N,10
97,24,40000.0,Rent,6.0,Medical,A,5000.0,6.17,0,0.12,N,3
98,52,25000.0,Rent,23.0,Medical,D,5000.0,12.61,1,0.2,Y,22
99,27,97000.0,Mortgage,11.0,Personal,B,3600.0,9.25,0,0.04,N,7
101,22,45000.0,Rent,3.0,Medical,A,5800.0,7.88,0,0.13,N,3
102,22,63800.0,Mortgage,7.0,Debtconsolidation,B,25000.0,11.36,0,0.39,N,4
103,34,65000.0,Mortgage,6.0,Debtconsolidation,A,12300.0,0.0,0,0.19,N,10
104,26,96000.0,Rent,2.0,Homeimprovement,A,1750.0,6.54,0,0.02,N,2
105,22,108000.0,Rent,6.0,Education,B,28000.0,0.0,1,0.26,N,4
106,23,60000.0,Own,2.0,Medical,D,18500.0,15.33,0,0.31,N,2
107,24,88000.0,Rent,0.0,Homeimprovement,B,14000.0,9.99,0,0.16,N,3
108,26,70000.0,Mortgage,0.0,Education,A,7000.0,7.88,0,0.1,N,4
109,32,73000.0,Mortgage,7.0,Personal,C,4750.0,13.11,1,0.07,Y,9
110,25,27600.0,Rent,2.0,Medical,B,7000.0,9.76,0,0.25,N,4
111,26,110000.0,Mortgage,0.0,Venture,A,15600.0,6.17,0,0.14,N,4
112,34,84000.0,Rent,3.0,Education,A,9000.0,5.79,0,0.11,N,10
113,24,80000.0,Rent,5.0,Venture,B,10000.0,11.14,0,0.12,N,4
114,23,25200.0,Rent,7.0,Education,B,7200.0,11.86,1,0.29,N,4
115,26,108000.0,Mortgage,4.0,Personal,A,9000.0,5.79,0,0.08,N,2
116,28,77544.0,Mortgage,2.0,Personal,E,15000.0,16.63,0,0.19,Y,5
117,28,61500.0,Rent,1.0,Homeimprovement,B,4000.0,10.95,0,0.07,N,8
118,25,112000.0,Rent,7.0,Debtconsolidation,B,5000.0,10.25,0,0.04,N,3
119,29,33996.0,Rent,11.0,Education,C,4000.0,13.47,1,0.12,N,7
120,23,48000.0,Rent,3.0,Debtconsolidation,A,8000.0,8.49,0,0.17,N,2
121,22,20400.0,Rent,0.0,Personal,B,5000.0,12.42,0,0.25,N,2
122,21,24996.0,Rent,2.0,Education,E,5000.0,16.45,1,0.2,N,4
123,31,65000.0,Mortgage,3.0,Debtconsolidation,A,10000.0,11.03,0,0.15,N,3
124,33,15500.0,Rent,1.0,Medical,A,3000.0,7.51,1,0.19,N,5
125,29,48000.0,Rent,1.0,Medical,A,8800.0,8.49,0,0.18,N,9
126,49,70872.0,Mortgage,4.0,Debtconsolidation,D,15000.0,14.84,1,0.21,N,11
127,25,90000.0,Mortgage,7.0,Debtconsolidation,A,6000.0,7.14,0,0.07,N,3
128,24,60000.0,Rent,8.0,Personal,D,20000.0,13.87,1,0.33,N,4
129,22,54000.0,Rent,4.0,Debtconsolidation,C,9000.0,15.96,0,0.17,Y,3
130,30,30000.0,Rent,1.0,Personal,B,14500.0,0.0,1,0.48,N,8
131,25,35500.0,Rent,5.0,Medical,B,4000.0,10.99,0,0.11,N,3
132,29,92250.0,Rent,2.0,Medical,B,13000.0,10.99,0,0.14,N,9
133,24,65000.0,Mortgage,6.0,Personal,B,11000.0,11.49,0,0.17,N,2
134,24,75000.0,Mortgage,9.0,Homeimprovement,A,11500.0,5.42,0,0.15,N,2
135,36,16800.0,Rent,0.0,Personal,C,504.0,5.42,0,0.03,N,14
136,24,60000.0,Own,9.0,Homeimprovement,B,15000.0,11.83,0,0.25,N,3
137,41,55000.0,Rent,9.0,Debtconsolidation,B,12000.0,12.53,0,0.22,N,15
138,34,47818.0,Rent,9.0,Medical,A,6800.0,6.92,0,0.14,N,9
139,24,70000.0,Mortgage,9.0,Debtconsolidation,B,12000.0,11.36,0,0.17,N,4
140,26,36996.0,Rent,8.0,Personal,C,9600.0,11.97,0,0.26,Y,4
141,29,38000.0,Mortgage,0.0,Education,A,15000.0,11.12,0,0.39,N,3
143,36,45600.0,Mortgage,6.0,Medical,C,10000.0,13.49,0,0.22,N,16
144,35,52000.0,Rent,2.0,Medical,B,3000.0,11.48,0,0.06,N,7
146,21,45000.0,Rent,3.0,Personal,A,7200.0,9.38,0,0.16,N,4
147,26,85000.0,Mortgage,8.0,Medical,A,15000.0,7.88,0,0.18,N,4
148,23,66912.0,Mortgage,7.0,Personal,C,16000.0,12.73,0,0.24,N,3
149,30,100000.0,Rent,13.0,Debtconsolidation,A,12000.0,7.88,0,0.12,N,9
150,30,60000.0,Rent,4.0,Personal,B,12000.0,10.99,0,0.2,N,10
151,36,37000.0,Mortgage,5.0,Medical,E,3000.0,18.39,1,0.08,Y,15
153,21,45000.0,Rent,3.0,Medical,B,9600.0,12.18,0,0.21,N,3
154,24,28800.0,Mortgage,5.0,Debtconsolidation,C,5500.0,0.0,0,0.19,Y,3
155,23,0.0,Rent,0.0,Medical,A,12000.0,15.68,0,0.0,Y,3
156,24,56000.0,Mortgage,2.0,Education,C,5250.0,12.87,0,0.09,N,2
157,25,60000.0,Mortgage,6.0,Venture,D,8400.0,16.89,0,0.14,N,3
158,27,85000.0,Mortgage,9.0,Medical,B,24000.0,11.71,0,0.28,N,10
159,27,55200.0,Own,4.0,Education,B,4000.0,0.0,0,0.07,N,10
160,37,117000.0,Mortgage,3.0,Personal,A,10000.0,8.94,0,0.09,N,11
161,35,24000.0,Mortgage,14.0,Debtconsolidation,A,4000.0,7.49,0,0.17,N,7
162,26,45000.0,Rent,6.0,Medical,A,3575.0,0.0,0,0.08,N,2
165,25,29000.0,Rent,5.0,Venture,A,10000.0,7.49,1,0.34,N,2
166,33,24000.0,Rent,0.0,Debtconsolidation,D,1000.0,14.91,1,0.04,Y,10
167,23,92000.0,Mortgage,7.0,Personal,B,15000.0,11.26,0,0.16,N,2
168,23,50004.0,Mortgage,7.0,Personal,A,6000.0,0.0,0,0.12,N,3
169,23,87000.0,Mortgage,7.0,Medical,A,17000.0,7.51,0,0.2,N,3
170,38,55000.0,Rent,0.0,Education,C,6500.0,11.03,0,0.12,Y,12
171,35,52500.0,Rent,3.0,Homeimprovement,B,12000.0,10.36,0,0.23,N,8
172,23,74000.0,Own,7.0,Personal,D,15000.0,15.99,0,0.2,Y,4
173,29,120000.0,Own,10.0,Personal,B,18000.0,11.49,0,0.15,N,10
174,38,48000.0,Mortgage,23.0,Medical,D,9000.0,15.21,1,0.19,Y,15
175,24,54500.0,Mortgage,7.0,Medical,D,8000.0,17.49,1,0.15,N,4
176,21,36000.0,Rent,0.0,Personal,B,18000.0,9.88,1,0.5,N,3
177,22,51000.0,Rent,6.0,Education,A,7500.0,5.99,0,0.15,N,3
178,33,59000.0,Rent,17.0,Medical,B,9600.0,9.91,0,0.16,N,8
180,24,88000.0,Mortgage,2.0,Personal,A,8000.0,5.99,0,0.09,N,4
181,23,52360.0,Mortgage,0.0,Venture,D,15000.0,16.49,0,0.29,Y,2
183,27,37000.0,Rent,0.0,Medical,B,9000.0,11.11,0,0.24,N,5
184,26,85000.0,Rent,3.0,Homeimprovement,C,21000.0,13.92,0,0.25,N,3
185,23,60000.0,Rent,1.0,Education,C,11000.0,14.22,0,0.18,N,4
186,22,92496.0,Mortgage,2.0,Education,A,10200.0,0.0,0,0.11,N,4
187,24,42000.0,Mortgage,9.0,Personal,A,11000.0,5.42,0,0.26,N,4
188,27,120000.0,Mortgage,2.0,Venture,B,16000.0,12.21,0,0.13,N,5
189,31,42000.0,Rent,2.0,Medical,A,7000.0,7.9,0,0.17,N,7
190,38,22000.0,Rent,2.0,Venture,C,4000.0,12.68,0,0.18,Y,12
191,24,85000.0,Rent,1.0,Venture,B,16000.0,11.99,0,0.19,N,3
192,21,19968.0,Rent,4.0,Medical,C,5000.0,0.0,1,0.25,N,3
193,23,28000.0,Own,6.0,Venture,B,7000.0,9.99,0,0.25,N,4
194,23,50000.0,Rent,6.0,Education,C,3000.0,0.0,0,0.06,Y,2
195,31,99504.0,Rent,5.0,Debtconsolidation,C,7500.0,13.57,0,0.08,N,10
196,31,48000.0,Rent,11.0,Medical,B,2000.0,10.65,0,0.04,N,6
197,27,46000.0,Mortgage,2.0,Personal,C,4000.0,12.53,1,0.09,Y,9
198,24,90000.0,Rent,8.0,Homeimprovement,B,10000.0,0.0,0,0.11,N,2
199,24,91800.0,Mortgage,0.0,Medical,C,16000.0,14.22,1,0.17,N,4
200,26,45000.0,Rent,3.0,Medical,A,6000.0,7.49,0,0.13,N,2
204,46,80000.0,Mortgage,8.0,Venture,B,5000.0,11.86,0,0.06,N,15
205,21,45000.0,Mortgage,4.0,Education,A,5000.0,7.14,0,0.11,N,4
206,25,26000.0,Rent,4.0,Medical,C,8000.0,12.87,1,0.31,Y,3
207,31,110000.0,Mortgage,4.0,Debtconsolidation,B,6000.0,11.99,0,0.05,N,7
208,33,38400.0,Rent,6.0,Medical,B,10500.0,11.99,0,0.27,N,8
209,23,73164.0,Mortgage,7.0,Venture,B,1000.0,10.36,0,0.01,N,2
210,26,95000.0,Mortgage,1.0,Personal,B,24000.0,10.99,0,0.25,N,3
211,23,20000.0,Rent,6.0,Personal,C,4000.0,12.23,0,0.2,Y,2
212,42,38400.0,Rent,4.0,Medical,B,13000.0,0.0,1,0.34,N,11
213,32,60000.0,Mortgage,11.0,Personal,C,7500.0,11.03,0,0.12,Y,10
214,25,28800.0,Rent,5.0,Personal,A,5575.0,6.62,0,0.19,N,4
215,29,46000.0,Rent,6.0,Venture,B,4000.0,9.99,0,0.09,N,9
216,23,36100.0,Rent,2.0,Education,A,5000.0,7.49,0,0.14,N,4
217,23,52000.0,Rent,1.0,Personal,C,25000.0,13.22,1,0.48,N,2
218,28,62000.0,Rent,4.0,Personal,C,7200.0,12.99,0,0.12,Y,9
219,23,72000.0,Mortgage,5.0,Personal,D,12000.0,16.29,0,0.17,N,2
220,21,16800.0,Mortgage,0.0,Venture,B,6000.0,10.39,1,0.36,N,4
221,25,40000.0,Mortgage,9.0,Medical,C,3500.0,13.49,0,0.09,Y,3
222,23,38000.0,Mortgage,5.0,Personal,A,5400.0,7.9,0,0.14,N,3
223,23,35000.0,Rent,0.0,Debtconsolidation,C,5200.0,13.92,0,0.15,N,2
224,30,40000.0,Rent,4.0,Venture,C,4500.0,14.26,0,0.11,Y,6
225,23,120000.0,Rent,3.0,Venture,A,3725.0,8.49,0,0.03,N,2
226,22,42000.0,Rent,0.0,Venture,C,3600.0,14.72,0,0.09,Y,4
227,32,101000.0,Mortgage,12.0,Debtconsolidation,B,8000.0,11.49,0,0.08,N,5
228,21,28000.0,Rent,3.0,Education,B,8000.0,10.99,1,0.29,N,2
229,26,48000.0,Mortgage,10.0,Venture,C,13800.0,13.49,0,0.29,Y,2
230,27,78000.0,Mortgage,1.0,Venture,A,5125.0,8.59,0,0.07,N,8
231,31,18000.0,Rent,6.0,Education,C,4000.0,12.84,1,0.22,N,5
232,32,84456.0,Rent,5.0,Debtconsolidation,B,10000.0,9.88,0,0.12,N,10
233,35,48000.0,Own,6.0,Homeimprovement,C,4200.0,13.61,0,0.09,N,7
234,22,31000.0,Rent,7.0,Medical,D,9250.0,14.11,1,0.3,N,4
235,22,69996.0,Mortgage,6.0,Venture,B,10000.0,10.0,0,0.14,N,4
236,29,76000.0,Rent,2.0,Medical,B,7200.0,0.0,0,0.09,N,8
237,22,57000.0,Mortgage,1.0,Venture,A,3200.0,5.99,0,0.06,N,4
238,22,66000.0,Mortgage,6.0,Education,C,15000.0,11.72,0,0.23,Y,2
239,47,85000.0,Mortgage,3.0,Homeimprovement,A,10000.0,8.07,0,0.12,N,15
240,22,36000.0,Mortgage,6.0,Debtconsolidation,A,5975.0,7.42,0,0.17,N,4
241,30,140000.0,Mortgage,2.0,Homeimprovement,E,15000.0,16.35,0,0.11,N,5
242,33,56400.0,Mortgage,3.0,Education,B,8500.0,12.42,1,0.15,N,6
243,23,60000.0,Rent,0.0,Education,C,11200.0,10.78,0,0.19,N,3
244,22,40000.0,Mortgage,3.0,Debtconsolidation,B,7500.0,11.49,0,0.19,N,3
245,36,24000.0,Rent,20.0,Debtconsolidation,B,10000.0,11.86,1,0.42,N,15
247,21,33000.0,Mortgage,5.0,Homeimprovement,C,2000.0,14.27,1,0.06,N,4
248,23,70000.0,Rent,8.0,Debtconsolidation,A,6725.0,6.62,0,0.1,N,2
249,27,39000.0,Rent,0.0,Education,C,8000.0,11.03,0,0.21,N,9
250,31,40000.0,Own,0.0,Medical,D,15000.0,15.31,0,0.38,Y,10
251,28,90000.0,Mortgage,12.0,Homeimprovement,C,5000.0,14.79,0,0.06,Y,8
252,22,42500.0,Rent,0.0,Medical,E,1500.0,17.19,1,0.04,Y,4
253,25,70000.0,Rent,1.0,Venture,A,5750.0,8.0,0,0.08,N,4
256,34,93100.0,Rent,2.0,Homeimprovement,C,8000.0,0.0,0,0.09,N,9
257,26,67000.0,Rent,9.0,Venture,A,8000.0,7.14,0,0.12,N,2
258,28,0.0,Rent,7.0,Education,A,20000.0,10.62,0,0.0,N,4
259,40,52479.0,Rent,17.0,Personal,D,6600.0,14.54,1,0.13,N,13
261,21,30000.0,Rent,0.0,Debtconsolidation,C,1500.0,13.92,0,0.05,N,2
262,23,39292.0,Mortgage,3.0,Medical,A,3250.0,0.0,1,0.08,N,3
263,27,65000.0,Rent,5.0,Personal,E,7000.0,16.82,0,0.11,N,9
264,43,54000.0,Rent,0.0,Homeimprovement,D,9000.0,15.65,1,0.17,Y,16
265,36,79200.0,Mortgage,19.0,Personal,A,10000.0,6.03,0,0.13,N,14
266,24,65450.0,Rent,7.0,Debtconsolidation,A,9600.0,8.49,0,0.15,N,2
267,22,38004.0,Own,0.0,Venture,D,3000.0,12.92,0,0.08,Y,3
268,39,90000.0,Mortgage,15.0,Venture,A,10500.0,7.66,0,0.12,N,12
269,34,80000.0,Rent,0.0,Debtconsolidation,A,30000.0,6.62,1,0.38,N,5
270,25,75600.0,Mortgage,7.0,Medical,C,15000.0,12.68,0,0.2,N,2
272,25,80000.0,Own,9.0,Venture,C,12800.0,0.0,0,0.16,N,3
273,24,48661.0,Mortgage,7.0,Education,D,8000.0,17.58,0,0.16,N,2
274,26,65000.0,Rent,4.0,Personal,A,8000.0,6.92,0,0.12,N,4
275,26,59600.0,Mortgage,9.0,Venture,E,21000.0,16.45,1,0.35,N,2
277,23,66000.0,Mortgage,8.0,Education,B,8750.0,9.99,0,0.13,N,2
278,26,97000.0,Mortgage,5.0,Debtconsolidation,A,4000.0,6.62,0,0.04,N,4
279,21,39000.0,Rent,4.0,Education,B,6000.0,10.38,0,0.15,N,3
280,23,46000.0,Rent,2.0,Venture,D,6800.0,15.65,1,0.15,Y,4
281,24,50000.0,Rent,6.0,Personal,A,4000.0,7.66,0,0.08,N,4
282,25,99996.0,Mortgage,3.0,Venture,A,8000.0,8.0,0,0.08,N,2
283,32,40277.0,Rent,5.0,Medical,B,15000.0,11.71,1,0.37,N,8
284,26,21000.0,Own,4.0,Education,C,8000.0,13.79,0,0.38,Y,3
285,27,50000.0,Rent,5.0,Venture,B,12000.0,10.37,0,0.24,N,9
286,21,27000.0,Rent,5.0,Medical,D,4000.0,15.58,1,0.15,Y,2
287,26,48000.0,Rent,2.0,Medical,B,10000.0,12.21,0,0.21,N,3
288,31,102000.0,Mortgage,5.0,Education,A,4000.0,7.88,0,0.04,N,10
289,22,21120.0,Mortgage,3.0,Debtconsolidation,D,1625.0,16.89,1,0.08,Y,3
290,24,70000.0,Mortgage,4.0,Education,B,21000.0,11.99,0,0.3,N,4
291,26,22800.0,Rent,4.0,Personal,C,5000.0,13.57,0,0.22,Y,2
292,32,85000.0,Rent,7.0,Debtconsolidation,B,6000.0,11.71,0,0.07,N,5
293,22,35000.0,Rent,4.0,Venture,C,1000.0,0.0,0,0.03,Y,3
294,30,66000.0,Mortgage,15.0,Venture,B,15000.0,11.14,0,0.23,N,8
295,32,32004.0,Rent,10.0,Debtconsolidation,C,10400.0,15.27,1,0.32,N,9
297,22,18000.0,Own,3.0,Personal,A,3000.0,7.9,1,0.17,N,4
298,30,9600.0,Rent,0.0,Personal,A,1800.0,5.99,1,0.19,N,8
299,31,56000.0,Mortgage,4.0,Medical,A,8000.0,8.59,0,0.14,N,6
300,23,90000.0,Mortgage,7.0,Personal,D,15000.0,15.31,0,0.17,Y,4
301,25,39000.0,Rent,3.0,Homeimprovement,A,2000.0,7.66,1,0.05,N,4
302,26,67000.0,Mortgage,10.0,Personal,B,10000.0,12.21,0,0.15,N,3
303,29,55000.0,Mortgage,1.0,Venture,A,12625.0,7.9,0,0.23,N,6
304,25,42000.0,Rent,3.0,Venture,A,18000.0,6.17,1,0.43,N,2
305,27,113800.0,Mortgage,3.0,Medical,A,7500.0,8.63,0,0.07,N,10
306,39,32000.0,Rent,0.0,Venture,A,3840.0,11.71,0,0.12,N,3
307,31,24996.0,Rent,0.0,Debtconsolidation,C,5000.0,12.99,1,0.2,N,8
308,45,80000.0,Rent,10.0,Medical,A,35000.0,0.0,1,0.44,N,13
309,27,26000.0,Rent,6.0,Personal,B,6000.0,10.75,0,0.23,N,10
311,24,110000.0,Mortgage,8.0,Personal,A,27300.0,7.51,0,0.25,N,3
312,31,82656.0,Other,10.0,Debtconsolidation,C,6000.0,12.09,0,0.07,Y,9
313,40,81120.0,Mortgage,1.0,Education,B,24000.0,9.25,0,0.3,N,15
314,27,96000.0,Rent,3.0,Homeimprovement,A,10000.0,7.88,0,0.1,N,10
315,27,44000.0,Rent,6.0,Venture,A,4800.0,7.51,0,0.11,N,10
316,24,57600.0,Mortgage,0.0,Homeimprovement,A,3300.0,5.42,0,0.06,N,4
317,23,37000.0,Mortgage,2.0,Education,A,10000.0,7.74,0,0.27,N,3
318,23,77000.0,Own,3.0,Venture,A,3500.0,5.99,0,0.05,N,2
319,34,62900.0,Mortgage,11.0,Medical,A,18000.0,8.94,1,0.29,N,5
320,25,35400.0,Rent,2.0,Medical,A,2000.0,8.49,0,0.06,N,2
321,33,34000.0,Mortgage,8.0,Homeimprovement,D,4750.0,0.0,0,0.14,N,3
322,28,85000.0,Mortgage,2.0,Education,A,15000.0,8.49,0,0.18,N,7
323,24,69684.0,Mortgage,4.0,Medical,B,2400.0,0.0,0,0.03,N,4
324,25,31000.0,Rent,1.0,Homeimprovement,B,3000.0,0.0,1,0.1,N,4
325,23,90100.0,Mortgage,7.0,Medical,E,21600.0,0.0,1,0.24,Y,2
326,23,40000.0,Rent,7.0,Venture,B,10000.0,10.36,0,0.25,N,3
327,24,115800.0,Mortgage,5.0,Personal,B,12000.0,10.99,0,0.1,N,3
328,22,58900.0,Rent,2.0,Medical,C,14900.0,13.57,0,0.25,N,3
329,29,35000.0,Mortgage,14.0,Education,C,8000.0,12.68,0,0.23,Y,9
330,24,60000.0,Rent,4.0,Personal,B,12500.0,11.49,0,0.21,N,3
331,21,38000.0,Mortgage,5.0,Education,C,7000.0,13.49,0,0.18,Y,3
332,24,32000.0,Rent,4.0,Homeimprovement,B,12800.0,12.42,1,0.4,N,3
333,26,83000.0,Rent,1.0,Debtconsolidation,B,12000.0,9.99,0,0.14,N,3
334,21,20000.0,Rent,0.0,Medical,B,5600.0,10.75,0,0.28,N,4
336,31,37000.0,Mortgage,12.0,Debtconsolidation,C,22000.0,12.73,0,0.59,Y,7
337,24,50000.0,Rent,9.0,Debtconsolidation,B,8000.0,9.99,0,0.16,N,2
338,28,33000.0,Rent,0.0,Venture,D,3200.0,14.42,1,0.1,Y,6
339,23,65000.0,Mortgage,4.0,Education,D,13600.0,15.62,0,0.21,Y,2
340,27,105000.0,Rent,1.0,Homeimprovement,B,16000.0,0.0,0,0.15,N,8
341,24,54000.0,Rent,5.0,Venture,C,21600.0,13.49,1,0.4,N,2
342,26,95400.0,Mortgage,8.0,Personal,C,5000.0,12.68,0,0.05,N,3
343,23,75000.0,Mortgage,4.0,Medical,C,16800.0,13.47,0,0.22,N,4
344,23,98000.0,Rent,0.0,Education,E,10000.0,16.4,1,0.1,N,2
